id,title,series,author,genre,date_published,publisher,num_of_page,lang,review_count,rate,award
82,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,"
        (Heaven is For Real)
","Todd Burpo,Lynn Vincent","Nonfiction,Christian,Religion,Inspirational,Autobiography,Memoir,Spirituality,Biography,Religion,Faith,Religion,Christianity",2010,Thomas Nelson,162,English,"15,169",4,
83,Throne of Novoxos (Van Laven Chronicles #1),"
        (Van Laven Chronicles #1)
",Tyler Chase,"Science Fiction,Romance,Fantasy,Contemporary",",",NaN,437,English,128,3.51,
84,The Lost City of Z: A Tale of Deadly Obsession in the Amazon,,David Grann,"Nonfiction,History,Adventure,Travel,Biography,Audiobook,Historical,Mystery,Science",February 24th 2009,Doubleday/Random House (NY),339,English,"6,442",3.84,"Indies Choice Book Award for Adult Nonfiction (2010),Samuel Johnson Prize for Non-Fiction Nominee (2009),Goodreads Choice Award Nominee for Nonfiction (2009)"
85,"Child 44 (Leo Demidov, #1)","
        (Leo Demidov #1)
",Tom Rob Smith,"Fiction,Historical,Historical Fiction,Mystery,Thriller,Mystery,Crime,Cultural,Russia,Historical,Thriller,Mystery Thriller,Suspense",April 1st 2009,"Grand Central Publishing

            ,",509,English,"6,531",4.08,"Booker Prize Nominee for Longlist (2008),Barry Award for Best First Novel (2009),Anthony Award Nominee for Best First Novel (2009),Dilys Award Nominee (2009),Galaxy British Book Awards for New Writer of the Year (2009)"
86,The Silver Linings Playbook,,Matthew Quick,"Fiction,Contemporary,Romance,Health,Mental Health,Adult,Adult Fiction,Audiobook,Mental Health,Mental Illness,Realistic Fiction",October 16th 2012,"Sarah Crichton Books

            ,",289,English,"12,155",3.98,PEN/Hemingway Foundation Award Nominee (2009)
87,The People of Paper,,Salvador Plascencia,"Fiction,Magical Realism,Fantasy,Novels,Literature,Contemporary,Literary Fiction,Unfinished,Adult",November 13th 2006,"Mariner Books

            ,",256,English,589,4.08,本屋大賞 Nominee for Translated Fiction (2012)
88,"Lover Eternal (Black Dagger Brotherhood, #2)","
        (Black Dagger Brotherhood #2)
",J.R. Ward,"Romance,Fantasy,Paranormal,Paranormal,Vampires,Romance,Paranormal Romance,Fantasy,Fantasy,Urban Fantasy,Adult,Fiction,Adult Fiction,Erotica",March 7th 2006,Signet,441,English,"6,938",4.33,
89,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)","
        (A Court of Thorns and Roses #2)
",Sarah J. Maas,"Fantasy,Romance,Young Adult,New Adult,Fairies,Fae,Fiction,Fantasy,Magic,Young Adult,Young Adult Fantasy,Fantasy,High Fantasy",May 3rd 2016,Bloomsbury USA Childrens,626,English,"55,798",4.58,Goodreads Choice Award for Young Adult Fantasy & Science Fiction (2016) and Nominee for Best of the Best  (2018)
90,Hotel on the Corner of Bitter and Sweet,,Jamie Ford,"Historical,Historical Fiction,Fiction,Historical,Romance,War,World War II,Book Club,Adult Fiction,War,Adult",January 27th 2009,Ballantine Books,290,English,"21,218",4.01,"Montana Book Award (2009),Goodreads Choice Award Nominee for Fiction (2009),David J. Langum Sr. Prize Nominee for American Historical Fiction  (Director's Mention) (2009),Asian/Pacific American Award for Literature for Adult Fiction (2009)"
91,Oblivion: Stories,,David Foster Wallace,"Short Stories,Fiction,Literature,Literature,American,Literary Fiction,Contemporary,Literature,21st Century,Philosophy,The United States Of America",August 30th 2005,"Back Bay Books

            ,",329,English,961,4.06,
92,Suite Française,,"Irène Némirovsky,Sandra Smith","Fiction,Historical,Historical Fiction,Cultural,France,War,World War II,War,Historical,Classics,World War II,Holocaust,Book Club",April 10th 2007,"Vintage

            ,",431,English,"6,659",3.81,"Magnesia Litera for Translation (Litera za překladovou knihu) (2012),Prix Renaudot (2004),PEN Translation Prize for Sandra Smith (2007),French-American Foundation Translation Prize for Fiction (2006),Jewish Quarterly-Wingate Prize Nominee (2007)"
93,"The Passage (The Passage, #1)","
        (The Passage #1)
",Justin Cronin,"Horror,Fiction,Science Fiction,Fantasy,Apocalyptic,Post Apocalyptic,Paranormal,Vampires,Science Fiction,Dystopia,Thriller,Science Fiction,Apocalyptic",June 8th 2010,Ballantine Books,766,English,"19,862",4.02,"Locus Award Nominee for Best SF Novel (2011),Goodreads Choice Award Nominee for Favorite Book and for Science Fiction (2010)"
94,Mystic River,,Dennis Lehane,"Mystery,Fiction,Thriller,Mystery,Crime,Thriller,Mystery Thriller,Suspense,Drama,Novels,Contemporary",February 1st 2001,"William Morrow Paperbacks

            ,",416,English,"4,061",4.12,"Barry Award for Best Novel (2002),Macavity Award Nominee for Best Mystery Novel (2002),Anthony Award for Best Novel (2002),Hammett Prize Nominee (2001),Dilys Award (2002)"
95,The Trigger: Hunting the Assassin Who Brought the World to War,,Tim Butcher,"History,Nonfiction,War,World War I,War,Biography,Travel,Politics,Literature,20th Century,History,European History",May 1st 2014,Chatto  Windus,352,English,261,3.67,
96,The Book of Salt,,Monique Truong,"Fiction,Historical,Historical Fiction,LGBT,GLBT,Queer,Food and Drink,Food,Cultural,France,Historical,Novels,Literary Fiction",June 15th 2004,"Mariner Books

            ,",261,English,769,3.52,"Stonewall Book Award for Literature (2004),New York Public Library Young Lions Fiction Award (2004),Guardian First Book Award Nominee for Longlist (2003),PEN/Robert W. Bingham Prize (2004),Rosenthal Family Foundation Award (2011)"
97,Half of a Yellow Sun,,Chimamanda Ngozi Adichie,"Fiction,Historical,Historical Fiction,Cultural,Africa,Western Africa,Nigeria,War,Historical,Literature,African Literature,Novels,Contemporary",September 12th 2006,Knopf,433,English,"9,947",4.3,"Orange Prize for Fiction (2007),James Tait Black Memorial Prize Nominee for Fiction (2006),Anisfield-Wolf Book Award for Fiction (2007),PEN Open Book Award (2007),National Book Critics Circle Award Nominee for Fiction (2006)"
98,Shutter Island,,Dennis Lehane,"Mystery,Fiction,Thriller,Horror,Suspense,Mystery,Crime,Thriller,Mystery Thriller,Novels,Thriller,Psychological Thriller",April 27th 2004,"HarperTorch

            ,",369,English,"8,926",4.07,"Barry Award Nominee for Best Novel (2004),Anthony Award Nominee for Best Novel (2004),Hammett Prize Nominee (2003),Grand Prix des lectrices de Elle for roman policier (2004)"
99,One Day,,David Nicholls,"Fiction,Romance,Contemporary,Womens Fiction,Chick Lit,Adult,Adult Fiction,Novels,European Literature,British Literature,Love",January 1st 2009,Hodder & Stoughton,435,English,"18,072",3.8,"Bollinger Everyman Wodehouse Prize Nominee for Comic Fiction (2010),Exclusive Books Boeke Prize (2010),Galaxy National Book Award for Book of the Year (2011),LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)"
100,"The Eyre Affair (Thursday Next, #1)","
        (Thursday Next #1)
",Jasper Fforde,"Fantasy,Fiction,Mystery,Humor,Science Fiction,Writing,Books About Books,Science Fiction,Time Travel,Science Fiction,Alternate History,Science Fiction Fantasy",February 25th 2003,"Penguin Books

            ,",374,English,"10,624",3.86,"Locus Award Nominee for Best Science Fiction Novel (2002),IAFA William L. Crawford Fantasy Award (2002),Dilys Award Nominee (2003),ALA Alex Award (2003),Lincoln Award Nominee (2006)"
101,Black Swan Green,,David Mitchell,"Fiction,Young Adult,Coming Of Age,Contemporary,Literary Fiction,Young Adult,European Literature,British Literature,Novels,Literature,Historical,Historical Fiction",February 27th 2007,"Random House

            ,",296,English,"3,469",3.93,"Booker Prize Nominee for Longlist (2006),Costa Book Award Nominee for Novel (2006),Los Angeles Times Book Prize Nominee for Fiction (2006),ALA Alex Award (2007)"
102,"The Wise Man's Fear (The Kingkiller Chronicle, #2)","
        (The Kingkiller Chronicle #2)
",Patrick Rothfuss,"Fantasy,Fiction,Fantasy,Epic Fantasy,Fantasy,High Fantasy,Fantasy,Magic,Science Fiction Fantasy,Adventure,Audiobook,Adult",March 1st 2011,DAW Books,994,English,"23,507",4.53,"Locus Award Nominee for Best Fantasy Novel (2012),David Gemmell Legend Award for Best Fantasy Novel (2012),Tähtifantasia Award Nominee (2016),Goodreads Choice Award Nominee for Best Fantasy and for Favorite Book (2011),Prix Elbakin.net for Meilleur roman fantasy traduit (2013)"
103,"Spirit Bound (Vampire Academy, #5)","
        (Vampire Academy #5)
",Richelle Mead,"Young Adult,Paranormal,Vampires,Fantasy,Fantasy,Paranormal,Romance,Fantasy,Urban Fantasy,Romance,Paranormal Romance,Fantasy,Supernatural,Fiction",May 18th 2010,Razorbill,489,English,"9,248",4.31,"Children's Choice Book Award Nominee for Teen Choice Book of the Year (2011),Teen Read Award Nominee for Best Series (2010),Goodreads Choice Award for Goodreads Author and Nominee for Favorite Book (2010)"
104,The Girl on the Train,,Paula Hawkins,"Fiction,Mystery,Thriller,Mystery,Crime,Thriller,Mystery Thriller,Suspense,Contemporary,Adult,Audiobook",January 13th 2015,"Riverhead Books

            ,",325,English,"1,14,719",3.94,"ITW Thriller Award Nominee for Best Hardcover Novel (2016),Audie Award for Audiobook of the Year (2016),Australian Book Industry Award (ABIA) Nominee for International Book (2016),Goodreads Choice Award for Mystery & Thriller (2015),Waterstones Book of the Year Nominee (2015)"
105,The Forgotten Garden,,Kate Morton,"Fiction,Historical,Historical Fiction,Mystery,Historical,Cultural,Australia,Romance,Adult Fiction,Adult,European Literature,British Literature",June 1st 2008,Pan Books,648,English,"19,206",4.12,"Australian Book Industry Award (ABIA) for General Fiction (2009),本屋大賞 Nominee for Translated Fiction (2012)"
106,Fast Food Nation: The Dark Side of the All-American Meal,,Eric Schlosser,"Nonfiction,Food and Drink,Food,Health,Sociology,Politics,History,Science,Academic,School,Health,Nutrition",July 5th 2005,"Harper Perennial

            ,",399,English,"5,487",3.74,Puddly Award for Nonfiction (2003)
107,Little Bee,,Chris Cleave,"Fiction,Cultural,Africa,Historical,Historical Fiction,Book Club,Contemporary,Adult Fiction,Western Africa,Nigeria,Adult,Literary Fiction",February 16th 2010,"Simon & Schuster

            ,",275,English,"21,578",3.71,"Costa Book Award Nominee for Novel (2008),Goodreads Choice Award Nominee for Fiction (2009)"
108,Fingersmith,,Sarah Waters,"Historical,Historical Fiction,Fiction,LGBT,Historical,Romance,Mystery,GLBT,Queer,LGBT,Lesbian,Adult",October 1st 2002,Riverhead Books,548,English,"6,388",3.98,"Booker Prize Nominee (2002),Stonewall Book Award Nominee for Literature (2003),Orange Prize Nominee for Fiction Shortlist (2002),CWA Ellis Peters Historical Award (2002),Lambda Literary Award for Lesbian Fiction (2003)"
109,Let the Right One In,"
        (Let the Right One In #1)
",John Ajvide Lindqvist,"Horror,Fiction,Paranormal,Vampires,Fantasy,Fantasy,Paranormal,Thriller,Fantasy,Supernatural,Mystery,European Literature,Swedish Literature",August 2nd 2007,"Quercus Publishing

            ,",513,English,"6,367",4.02,James Tiptree Jr. Award Nominee (2008)
110,"Delirium (Delirium, #1)","
        (Delirium #1)
",Lauren Oliver,"Young Adult,Science Fiction,Dystopia,Romance,Science Fiction,Fantasy,Fiction,Young Adult,Teen,Audiobook,Apocalyptic,Post Apocalyptic",February 7th 2012,"HarperCollins

            ,",441,English,"27,078",3.96,"Buxtehuder Bulle (2011),Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2013),Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Favorite Book and for Goodreads Author (2011),Missouri Gateway Readers Award Nominee (2014)"
111,"The Final Empire (Mistborn, #1)","
        (The Mistborn Saga #1)
",Brandon Sanderson,"Fantasy,Fiction,Fantasy,High Fantasy,Fantasy,Epic Fantasy,Adult,Fantasy,Magic,Young Adult,Science Fiction Fantasy,Audiobook",July 17th 2006,Tor Books,541,English,"33,508",4.44,"Tähtifantasia Award Nominee (2018),Prix Elbakin.net for Meilleur roman fantasy traduit (2010)"
112,"Fifty Shades of Grey (Fifty Shades, #1)","
        (Fifty Shades #1)
",E.L. James,"Romance,Fiction,Adult Fiction,Erotica,Adult,Erotica,BDSM,Contemporary,Womens Fiction,Chick Lit,Romance,Contemporary Romance,Romance,Erotic Romance",May 25th 2011,Vintage,356,English,"79,948",3.66,"All About Romance (AAR) Annual Reader Poll for Best Erotic Romance (tie) (2012),Australian Book Industry Award (ABIA) for International Book (2013),Goodreads Choice Award Nominee for Romance (2011)"
113,"Clockwork Prince (The Infernal Devices, #2)","
        (The Infernal Devices #2)
",Cassandra Clare,"Fantasy,Young Adult,Romance,Fantasy,Paranormal,Science Fiction,Steampunk,Historical,Historical Fiction,Fantasy,Urban Fantasy,Fiction,Paranormal,Angels",December 6th 2011,Margaret K. McElderry Books,498,English,"26,321",4.41,"Teen Buckeye Book Award Nominee (2012),Children's Choice Book Award Nominee for Teen Choice Book of the Year (2012)"
114,Saturday,,Ian McEwan,"Fiction,Contemporary,Literary Fiction,European Literature,British Literature,Novels,Literature,Adult Fiction,Book Club,Literature,21st Century",April 11th 2006,"Anchor

            ,",289,English,"4,089",3.62,"Booker Prize Nominee for Longlist (2005),James Tait Black Memorial Prize for Fiction (2005)"
115,"Matched (Matched, #1)","
        (Matched #1)
",Ally Condie,"Young Adult,Science Fiction,Dystopia,Romance,Science Fiction,Fiction,Fantasy,Young Adult,Teen,Audiobook,Futuristic",November 30th 2010,Dutton Books for Young Readers,369,English,"33,997",3.65,"South Carolina Book Award for Young Adult (2013),Teen Buckeye Book Award (2012),Pennsylvania Young Readers' Choice Award for Young Adults (2012),Rhode Island Teen Book Award (2012),California Young Readers Medal for Young Adult (2013)"
116,Flow Down Like Silver: Hypatia of Alexandria,,Ki Longfellow,"Historical,Historical Fiction,Fiction,Northern Africa,Egypt,Historical,Philosophy,Literature,Cultural,Africa,Feminism,History,Ancient History",August 20th 2009,Eio Books,301,English,224,3.78,
117,High in School,,Salman Aditya,"Humor,Humor,Comedy,Fantasy,Fiction,Childrens,Sequential Art,Graphic Novels,Young Adult,Asian Literature,Indonesian Literature,Contemporary",December 20th 2012,NaN,234,English,67,3.52,
118,"The Year of the Flood (MaddAddam, #2)","
        (MaddAddam #2)
",Margaret Atwood,"Fiction,Science Fiction,Science Fiction,Dystopia,Apocalyptic,Post Apocalyptic,Fantasy,Cultural,Canada,Speculative Fiction,Audiobook,Science Fiction Fantasy",September 22nd 2009,Doubleday Nan A. Talese,431,English,"7,929",4.03,"Scotiabank Giller Prize Nominee (2009),Tähtivaeltaja Award Nominee (2011),CBC Canada Reads Nominee (2014),Goodreads Choice Award Nominee for Fiction & Science Fiction (2009),International Dublin Literary Award Nominee (2011)"
119,"Odd Thomas (Odd Thomas, #1)","
        (Odd Thomas #1)
",Dean Koontz,"Horror,Fiction,Mystery,Fantasy,Thriller,Fantasy,Paranormal,Suspense,Fantasy,Supernatural,Fantasy,Urban Fantasy",August 29th 2006,"Bantam

            ,",446,English,"7,729",3.96,Lincoln Award Nominee (2006)
120,Team of Rivals: The Political Genius of Abraham Lincoln,,Doris Kearns Goodwin,"History,Nonfiction,Biography,Politics,North American Hi...,American History,Military History,Civil War,Leadership,Politics,Presidents,Historical",September 26th 2006,"Simon & Schuster

            ,",916,English,"7,500",4.22,"Benjamin Barondess Award (2006),Lincoln Prize (2006),National Book Critics Circle Award Nominee for Biography (2005),New-York Historical Society American History Book Prize"
121,"A Discovery of Witches (All Souls Trilogy, #1)","
        (All Souls  #1)
",Deborah Harkness,"Fantasy,Fiction,Romance,Fantasy,Paranormal,Paranormal,Vampires,Paranormal,Witches,Fantasy,Magic,Fantasy,Urban Fantasy,Romance,Paranormal Romance",Feb-11,Viking Penguin,579,English,"39,092",4,"SCIBA Award for fiction,Goodreads Choice Award Nominee for Paranormal Fantasy and for Favorite Book and for Goodreads Author (2011)"
122,"Wonder (Wonder, #1)","
        (Wonder #1)
",R.J. Palacio,"Young Adult,Fiction,Childrens,Middle Grade,Contemporary,Realistic Fiction,Childrens,Academic,School,Family,Young Adult,Coming Of Age",February 14th 2012,Alfred A. Knopf,315,English,"69,558",4.4,"Josette Frank Award (2013),Texas Bluebonnet Award Nominee (2013),West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2013),South Carolina Book Award for Children's Book (2014),Vermont Golden Dome Book Award (2014)"
123,The Tale of Despereaux,,"Kate DiCamillo,Timothy Basil Ering","Fantasy,Fiction,Childrens,Childrens,Middle Grade,Young Adult,Animals,Adventure,Classics,Childrens,Juvenile",September 9th 2008,"Candlewick Press

            ,",267,English,"10,608",4.03,"Newbery Medal (2004),Mythopoeic Fantasy Award Nominee for Children's Literature (2004),Kentucky Bluegrass Award for 3-5 (2005),Garden State Book Award (2006),Land of Enchantment Book Award for Young Adult (2006)"
124,My Life in France,,"Julia Child,Alex Prud'Homme","Nonfiction,Autobiography,Memoir,Food and Drink,Food,Biography,Cultural,France,Travel,Food and Drink,Cooking,Biography,Autobiography,Food and Drink,Cookbooks",April 4th 2006,"Knopf Publishing Group

            ,",336,English,"7,613",4.1,
